EmployeeIndex	Attrition_Probability
0	0.7456777518680147
1	0.010897934930741308
2	0.46663084487880285
3	0.09382198888967613
4	0.4248030457188459
5	0.07709592424245211
6	0.09672147531701568
7	0.11533611778873015
8	0.07036232237306031
9	0.031154751646775412
10	0.03881482601305079
11	0.2580187605954476
12	0.1459892311446574
13	0.05113986568148629
14	0.917435291332274
15	0.0339303610882473
16	0.03968788087009216
17	0.12946329005702817
18	0.0017040016791957705
19	0.15864886631389874
20	0.0017004515061291553
21	0.5238418821404399
22	0.004544862672182138
23	0.05221487530773868
24	0.11636142482362279
25	0.00040510144181248557
26	0.8536591992907191
27	0.02699471565289673
28	0.0013636206884923014
29	0.08653462030761684
30	0.08148833101355187
31	0.0036551643707578236
32	0.16052452051061855
33	0.015874733555868752
34	0.3889894937878281
35	0.0007232248307921125
36	0.5821124444942081
37	0.08645551211003226
38	0.363989025728673
39	0.0426269609827359
40	0.018043173651518498
41	0.03158012898295036
42	0.8646347496566892
43	0.06887320263550682
44	0.0448859954951996
45	0.006484467856918942
46	0.1587338699901029
47	0.24425777753953296
48	0.2799493345866711
49	0.01675089861089765
50	0.8110770182764365
51	0.7645583379914529
52	0.3279032671764522
53	0.10836016421348682
54	0.7561836991668649
55	0.03767388394048736
56	0.09240017259674954
57	0.6049496033414361
58	0.010299188275043
59	0.004944828117855417
60	0.09718646413997829
61	0.36114806025614915
62	0.07317201445730213
63	0.05646973613674652
64	0.003781288066260248
65	0.007526216414840539
66	0.1276650755509981
67	0.013195389195313944
68	0.13464867149211374
69	0.35616806404329476
70	0.1810123678233873
71	0.0036704321932650294
72	0.07247113374327108
73	0.0064694030189906765
74	0.09264636588404863
75	0.004281825558420515
76	0.058771499147885695
77	0.013749902152888568
78	0.0238627806008598
79	0.24072815017187782
80	0.1980566053480091
81	0.061238864422908885
82	0.008661908929945915
83	0.005725930511716096
84	0.036299708458281746
85	0.00998695514931847
86	0.40838834457924655
87	0.0068091708929966
88	0.008104758962958649
89	0.02171606275143468
90	0.048773657266449215
91	0.2570924141883821
92	0.058311586803444816
93	0.1771260020837402
94	0.16241474733395908
95	0.01203151997241268
96	0.06591912245117117
97	0.021560410156069472
98	0.0024381431989871634
99	0.051975611164508224
100	0.5451568851331572
101	0.056868517876759124
102	0.7993909907616248
103	0.00330102150070956
104	0.0016937614841197803
105	0.0032382009714683074
106	0.04907837276004792
107	0.6412951661205298
108	0.01561420566217023
109	0.2421349070492812
110	0.22340134107313622
111	0.7610194579660865
112	0.04259969740386117
113	0.11956992308656518
114	0.04720270496190042
115	0.06314024818568474
116	0.01648970854573921
117	0.01225426634449644
118	0.1451631317949036
119	0.007299009652142875
120	0.03987598103972035
121	0.014785971968551304
122	0.2415100369873743
123	0.007066226259521071
124	0.8087738190338788
125	0.03679716742913891
126	0.00141052869688416
127	0.9309259050326911
128	0.09846232198657502
129	0.006098399377916705
130	0.05925032327317076
131	0.08636396894366813
132	0.786274391853965
133	0.05502769461291488
134	0.02328546048068018
135	0.03168039393452122
136	0.06528020397066149
137	0.00487870513681344
138	0.3616458869531648
139	0.23776605863812825
140	0.49932245236366035
141	0.06175647262571956
142	0.21566889169252465
143	0.09275302941379647
144	0.005182668022477925
145	0.03282165496319684
146	0.08295205200886248
147	0.15164599955660155
148	0.0581413173606249
149	0.25742667540744296
150	0.01881263072258546
151	0.015837689901874813
152	0.31872417394804137
153	0.04411370591869901
154	0.09430668098452386
155	0.002461763501291092
156	0.020835364708611418
157	0.18074503666111477
158	0.04214462313431167
159	0.19805141237527885
160	0.017942347950437306
161	0.037532042708981576
162	0.04999534194367988
163	0.058035765656483856
164	0.06697255392369617
165	0.02591223635637404
166	0.02085504021887487
167	0.02773782301370918
168	0.04206016372751913
169	0.09654082172981311
170	0.24375623545599254
171	0.8762126456885677
172	0.40910012340810104
173	0.016893423170755036
174	0.1416628029401488
175	0.03369441968398611
176	0.031096925006955392
177	0.5740385221529419
178	0.014891199991508139
179	0.07049639608200911
180	0.19173919043094922
181	0.034249979766177885
182	0.6700249437060762
183	0.02914067997971918
184	0.002292861565658833
185	0.0016283227311143893
186	0.005853964535926755
187	0.00024225416094010663
